name;id;error;time;timeMin;timeMax;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;httpRequestsMin;httpRequestsMax;restarts;restartsMin;restartsMax
interactive-discover-4;0;true;18813;17736;21268;false;0;0;0;;;;144;144;144;1;1;1
interactive-discover-4;1;false;8753;8405;8919;false;3;3;3;8918 8918 8918;8918 8918 8918;8918 8918 8918;24;24;24;0;0;0
interactive-discover-4;2;false;8010;7857;8193;false;3;3;3;8192 8192 8192;8192 8192 8192;8192 8192 8192;21;21;21;0;0;0
interactive-discover-4;3;false;20672;16758;24907;false;3;3;3;24906 24907 24907;24906 24907 24907;24906 24907 24907;229;229;229;1;1;1
interactive-discover-4;4;true;19336;18919;19618;false;0;0;0;;;;143;143;143;1;1;1
interactive-discover-5;0;false;10999;10718;11679;false;15;15;15;8991 9351 9404 9515 9538 10082 10082 10106 10473 10530 10553 11215 11216 11677 11679;8991 9351 9404 9515 9538 10082 10082 10106 10473 10530 10553 11215 11216 11677 11679;8991 9351 9404 9515 9538 10082 10082 10106 10473 10530 10553 11215 11216 11677 11679;128;128;128;0;0;0
interactive-discover-5;1;false;7895;7813;8062;false;3;3;3;7140 7170 8061;7140 7170 8061;7140 7170 8061;20;20;20;0;0;0
interactive-discover-5;2;false;7351;7221;7936;false;3;3;3;7781 7854 7935;7781 7854 7935;7781 7854 7935;17;17;17;0;0;0
interactive-discover-5;3;false;11566;11462;11728;false;4;4;4;9537 9770 10455 11727;9537 9770 10455 11727;9537 9770 10455 11727;224;224;224;0;0;0
interactive-discover-5;4;false;11109;10814;11708;false;20;20;20;8512 8525 8526 10140 10194 10286 10451 10565 10750 10799 10816 11066 11203 11316 11446 11483 11639 11677 11704 11707;8512 8525 8526 10140 10194 10286 10451 10565 10750 10799 10816 11066 11203 11316 11446 11483 11639 11677 11704 11707;8512 8525 8526 10140 10194 10286 10451 10565 10750 10799 10816 11066 11203 11316 11446 11483 11639 11677 11704 11707;123;123;123;0;0;0
interactive-discover-6;0;true;60170;60128;60223;true;0;0;0;;;;2795;2472;2989;1;1;1
interactive-discover-6;1;false;8110;7205;8304;false;1;1;1;8304;8304;8304;20;20;20;0;0;0
interactive-discover-6;2;false;7267;6848;7483;false;1;1;1;7482;7482;7482;17;17;17;0;0;0
interactive-discover-6;3;true;60144;60136;60147;true;0;0;0;;;;2496;2186;2595;1;1;1
interactive-discover-6;4;false;28577;27804;28928;false;27;27;27;12137 12137 12137 12147 12178 12180 14717 15095 15211 15272 16632 28330 28587 28587 28587 28587 28858 28858 28858 28858 28862 28862 28862 28897 28898 28898 28927;12137 12137 12137 12147 12178 12180 14717 15095 15211 15272 16632 28330 28587 28587 28587 28587 28858 28858 28858 28858 28862 28862 28862 28897 28898 28898 28927;12137 12137 12137 12147 12178 12180 14717 15095 15211 15272 16632 28330 28587 28587 28587 28587 28858 28858 28858 28858 28862 28862 28862 28897 28898 28898 28927;123;123;123;1;1;1
interactive-discover-7;0;false;60182;60146;60209;true;1;1;1;16916;16916;16916;1109;1088;1163;1;1;1
interactive-discover-7;1;false;8046;7835;8267;false;1;1;1;8267;8267;8267;20;20;20;0;0;0
interactive-discover-7;2;false;7329;6927;7656;false;1;1;1;7655;7655;7655;17;17;17;0;0;0
interactive-discover-7;3;false;60141;60136;60150;true;1;1;1;60143;60143;60143;1369;1322;1450;1;1;1
interactive-discover-7;4;false;22192;22038;23210;false;1;1;1;17601;17601;17601;123;123;123;1;1;1
interactive-discover-8;0;false;48466;45445;49124;false;10;10;10;16933 36562 39593 39594 40406 40406 43814 44772 48019 49123;16933 36562 39593 39594 40406 40406 43814 44772 48019 49123;16933 36562 39593 39594 40406 40406 43814 44772 48019 49123;994;897;1187;1;1;1
interactive-discover-8;1;false;60208;60191;60238;true;8;8;8;33483 34807 34928 36442 36443 38073 51651 60237;33483 34807 34928 36442 36443 38073 51651 60237;33483 34807 34928 36442 36443 38073 51651 60237;1178;1074;1217;1;1;1
