cpu_percentage,memory,memory_percentage,received,transmitted
48.61325,530038784,3.1729187252813,4357,2073
49.2014,570093568,3.412694715316583,4357,2073
47.89911764705882,413007872,2.4723481569933234,6364,3026
50.541206030150754,433643520,2.5958772947167876,6364,3026
50.501616161616155,467300352,2.797353857772307,6406,3068
50.38762626262626,502112256,3.0057449140469648,6406,3068
51.329292929292926,529100800,3.1673037644756876,6406,3068
51.18292929292929,552325120,3.3063292132434614,6406,3068
50.73522613065327,560136192,3.353087860650894,6406,3068
49.94286432160804,573300736,3.4318934677654664,6406,3068
50.81859296482412,602505216,3.606717356603954,6406,3068
32.123366336633666,602411008,3.606153408575443,6476,3068
0,602411008,3.606153408575443,6476,3068
0,602411008,3.606153408575443,6476,3068
0.00445,602411008,3.606153408575443,6476,3068
0,602411008,3.606153408575443,6476,3068
0.009246231155778896,602411008,3.606153408575443,6476,3068
0.005074626865671642,602411008,3.606153408575443,6542,3134
0.0033000000000000004,602411008,3.606153408575443,6542,3134
0.004527363184079602,602411008,3.606153408575443,6542,3134
0,602411008,3.606153408575443,6542,3134
0,602411008,3.606153408575443,6542,3134
0,602411008,3.606153408575443,6542,3134
0,602411008,3.606153408575443,6542,3134
0.0056,602411008,3.606153408575443,6542,3134
0.005024875621890548,602411008,3.606153408575443,6542,3134
0,602411008,3.606153408575443,6542,3134
0.004422110552763819,602411008,3.606153408575443,6542,3134
0,602411008,3.606153408575443,6542,3134
0.004577114427860697,602411008,3.606153408575443,6542,3134
0,602411008,3.606153408575443,6542,3134
0.004129353233830846,602411008,3.606153408575443,6542,3134
0.0058,602411008,3.606153408575443,6608,3200
0.004378109452736319,602411008,3.606153408575443,6608,3200
0,602411008,3.606153408575443,6608,3200
0.004773869346733669,602411008,3.606153408575443,6608,3200
0,602411008,3.606153408575443,6608,3200
0,602411008,3.606153408575443,6608,3200
0,602411008,3.606153408575443,6608,3200
0.02445,602415104,3.6061779280549433,6608,3200
0.00515,602415104,3.6061779280549433,6608,3200
0.030049751243781092,602415104,3.6061779280549433,6608,3200
0,602415104,3.6061779280549433,6608,3200
0.003681592039800995,602415104,3.6061779280549433,6608,3200
0,602415104,3.6061779280549433,6608,3200
0,602415104,3.6061779280549433,6678,3200
0,602415104,3.6061779280549433,6678,3200
0,602415104,3.6061779280549433,6744,3266
0.0052,602415104,3.6061779280549433,6744,3266
0.004771573604060914,602415104,3.6061779280549433,6744,3266
0,602415104,3.6061779280549433,6744,3266
0.00595,602415104,3.6061779280549433,6744,3266
0,602415104,3.6061779280549433,6828,3350
0,602415104,3.6061779280549433,6828,3350
0,602415104,3.6061779280549433,6828,3350
0,602415104,3.6061779280549433,6828,3350
0.004925373134328358,602415104,3.6061779280549433,6828,3350
0.0077227722772277236,602415104,3.6061779280549433,6828,3350
0.0113,602415104,3.6061779280549433,6828,3350
2.5105445544554454,578764800,3.464602453419119,6828,3350
3.7177000000000002,504053760,3.0173671473301966,6828,3350
2.195273631840796,504070144,3.0174652252481984,6828,3350
0,504070144,3.0174652252481984,6894,3416
0,504070144,3.0174652252481984,6894,3416
0.00475,504070144,3.0174652252481984,6894,3416
0.004079601990049751,504070144,3.0174652252481984,6894,3416
0,504070144,3.0174652252481984,6894,3416
0,504070144,3.0174652252481984,6894,3416
0,504070144,3.0174652252481984,6894,3416
0.010646766169154229,504070144,3.0174652252481984,6894,3416
0,504070144,3.0174652252481984,6894,3416
0.0113,504070144,3.0174652252481984,6894,3416
0.0072,504070144,3.0174652252481984,6894,3416
0.004,504070144,3.0174652252481984,6894,3416
10.150746268656716,507535360,3.038208704905612,55207,5530
47.454852941176476,372305920,2.2286980891969623,178221,24498
50.784191919191926,421453824,2.522907323723332,302548,47002
50.23738693467337,368107520,2.203565622708961,306083,51890
50.63121212121212,396083200,2.371033667697302,306083,51890
50.210101010101006,465485824,2.7864917283535906,306083,51890
50.42636363636363,480133120,2.87417338704734,306083,51890
50.79949494949495,523673600,3.1348154541375397,306083,51890
50.44995,529862656,3.171864387662779,306083,51890
51.00464646464646,541429760,3.2411073977721605,306083,51890
50.92207070707071,552919040,3.3098845377710324,306083,51890
50.49706467661692,560562176,3.355637886518945,306083,51890
51.167525252525245,580907008,3.477426141197874,306083,51890
50.88015151515152,590249984,3.5333550739384907,306083,51890
48.37565656565657,610398208,3.653966393601397,306083,51890
3.7581188118811877,523337728,3.1328048568185,306083,51890
0.0048000000000000004,523337728,3.1328048568185,306083,51890
0,523337728,3.1328048568185,306083,51890
0,523337728,3.1328048568185,306215,52022
0.010445544554455446,523337728,3.1328048568185,306215,52022
0,523337728,3.1328048568185,306215,52022
0.00400990099009901,523337728,3.1328048568185,306215,52022
0,523337728,3.1328048568185,306215,52022
0,523337728,3.1328048568185,306215,52022
0.004029850746268657,523337728,3.1328048568185,306215,52022
0,523337728,3.1328048568185,306215,52022
0,523337728,3.1328048568185,306215,52022
0.0052,523337728,3.1328048568185,306215,52022
0,523337728,3.1328048568185,306215,52022
0.004378109452736319,523337728,3.1328048568185,306215,52022
0,523337728,3.1328048568185,306215,52022
0,523337728,3.1328048568185,306215,52022
3.427093596059113,509878272,3.0522338471798918,306215,52022
2.3559296482412058,509710336,3.0512285485203723,306347,52154
0.00445,509710336,3.0512285485203723,306347,52154
0.004676616915422886,509710336,3.0512285485203723,306347,52154
0,509710336,3.0512285485203723,306347,52154
0.004378109452736319,509710336,3.0512285485203723,306347,52154
0,509710336,3.0512285485203723,306347,52154
0,509710336,3.0512285485203723,306347,52154
0,509710336,3.0512285485203723,306347,52154
