cpu_percentage,memory,memory_percentage,received,transmitted
18.20814070351759,191729664,1.1477632727522387,21120134,700723575
2.4426633165829146,191107072,1.1440362113439981,21120134,700723575
0,191107072,1.1440362113439981,21121520,700724961
0,191107072,1.1440362113439981,21126338,700729779
0.08527363184079602,190754816,1.1419274792314407,21128648,701439878
0,190476288,1.1402601096540699,21130496,701709684
0,190476288,1.1402601096540699,21131354,701710542
0,190476288,1.1402601096540699,21131486,701710650
0,190476288,1.1402601096540699,21131486,701710650
0.01900497512437811,190476288,1.1402601096540699,21141386,701720550
0,190476288,1.1402601096540699,21141386,701720550
0,190476288,1.1402601096540699,21146996,701726112
0,190476288,1.1402601096540699,21150758,701729874
0,190476288,1.1402601096540699,21154586,701733702
0,190476288,1.1402601096540699,21155114,701734182
0,190476288,1.1402601096540699,21155180,701734248
0,190476288,1.1402601096540699,21155180,701734248
0,190476288,1.1402601096540699,21166994,701743998
0,190476288,1.1402601096540699,21166994,701743998
0,190476288,1.1402601096540699,21183296,701757336
0,190476288,1.1402601096540699,21183296,701757336
0,190476288,1.1402601096540699,21183758,701757714
0,190476288,1.1402601096540699,21183758,701757714
0,190476288,1.1402601096540699,21184154,701758038
0,190476288,1.1402601096540699,21184196,701758080
0,190476288,1.1402601096540699,21184262,701758134
0.04193069306930693,190377984,1.1396716262738213,21186254,702014940
0.15421319796954316,189419520,1.133933913316398,21197354,703807736
0.674010152284264,190537728,1.140627911766725,21212546,707175656
1.2683084577114427,189419520,1.133933913316398,21233150,709660585
0,187207680,1.1206930372608062,21250784,711391788
0.3139393939393939,183848960,1.100586521768981,21273008,715931138
0.0892079207920792,181862400,1.0886942534597919,21286628,718018667
9.762537313432835,183709696,1.0997528369802956,21387605,719428207
0.04654639175257732,183709696,1.0997528369802956,21389387,719429977
0.012153846153846154,183713792,1.0997773571211393,21390905,719431561
17.42736040609137,173617152,1.039335209941446,21675551,719570459
0.8330845771144278,175005696,1.0476475376874566,21724141,719596543
0.015643564356435644,175005696,1.0476475376874566,21725395,719597749
0,175005696,1.0476475376874566,21728299,719600521
0,175005696,1.0476475376874566,21772189,719644327
0,175005696,1.0476475376874566,21772189,719644327
0,175005696,1.0476475376874566,21773377,719645347
0,175005696,1.0476475376874566,21774895,719646865
0,174497792,1.0446070402228391,21784201,720145431
0,174305280,1.0434545936031856,21786445,720332702
0,174092288,1.0421795462793138,21788689,720537112
0,173953024,1.0413458614906284,21790603,720670074
0,173953024,1.0413458614906284,21790735,720670206
0,173953024,1.0413458614906284,21790801,720670272
0,173568000,1.0390409682513215,21793375,721042817
0,172937216,1.0352648665613935,21797005,721652065
0,172511232,1.0327147719136498,21800107,722061841
0.02517241379310345,171917312,1.029159351491315,21803605,722665091
0,171917312,1.029159351491315,21803605,722665091
0,171470848,1.0264866561393529,21806443,723100578
0,171470848,1.0264866561393529,21806443,723100578
0.03896039603960396,170881024,1.0229557558578617,21809281,723773029
0.01495,170369024,1.0198907382524005,21812977,724271098
6.20592039800995,166281216,0.9954196376903989,21900691,724392100
0.06025,165785600,0.9924527006483126,21905641,725296845
0,165625856,0.9914964151554087,21908149,725450299
0.013266331658291457,164954112,0.9874751120570436,21912769,726097860
0,164487168,0.9846798160008632,21915871,726550535
0,164151296,0.9826691644516806,21917983,726876402
0.0593,163504128,0.9787949821983777,21922933,727762124
0,163340288,0.9778141765646302,21923989,727920604
0.11065000000000001,162787328,0.9745039575507322,21928675,729332762
0,162787328,0.9745039575507322,21928675,729332762
0,162787328,0.9745039575507322,21928675,729332762
0.014876847290640394,162787328,0.9745039575507322,21928741,729332828
0,162369536,0.972002903184676,21931447,729738451
0.1416,161808384,0.9686436438890904,21936859,731293209
0,161808384,0.9686436438890904,21936859,731293209
0,161398784,0.9661916298047216,21940027,731689526
0,160915456,0.9632982531851664,21943063,732160955
0,160460800,0.9605765175515169,21945439,732604356
0.014285714285714287,160202752,0.9590317486783644,21947419,732853795
0,159932416,0.9574134193826809,21949861,733115033
0,159465472,0.9546181233265003,21953293,733565689
0,159465472,0.9546181233265003,21953293,733565689
0,159354880,0.9539560795237209,21954415,733672028
0,159010816,0.9518963876928509,21956659,734004740
0,158826496,0.950792981354885,21958615,734182869
0.11651741293532338,158306304,0.9476789234677364,21963169,735614870
0,158306304,0.9476789234677364,21963169,735614870
0,158261248,0.9474092019184558,21963895,735654687
0,157945856,0.9455211510734918,21966535,735954785
0,157208576,0.9411075257216277,21970759,736670086
0.033712871287128715,157028352,0.9400286395245054,21973267,736822830
0,156790784,0.9386064713555714,21976105,737049048
0,156073984,0.9343154467079259,21982045,737744319
0,156073984,0.9343154467079259,21982045,737744319
0,156073984,0.9343154467079259,21985543,737747613
0,155848704,0.932966838961523,21987061,737964958
0.06261306532663317,155475968,0.9307355061447473,21989305,738680074
0.10547263681592041,154624000,0.92563531684926,21993463,739882943
0,154624000,0.92563531684926,22113781,740003225
0.0385427135678392,154198016,0.9230852222015162,22115761,740532001
0,154112000,0.9225702992437989,22139059,740635001
0.0991959798994975,153513984,0.9189903586806202,22143283,741704715
0.02935323383084577,153509888,0.9189658385397765,22143415,741704847
0,153468928,0.9187206371313397,22143811,741741290
0.013781094527363183,153468928,0.9187206371313397,22143877,741741356
0.0536,153071616,0.9163421834695018,22145923,742309496
0.01527363184079602,153059328,0.9162686230469708,22146055,742309616
0,153059328,0.9162686230469708,22146055,742309616
0,152649728,0.9138166089626019,22148695,742705739
0.11435,152272896,0.9115607560049825,22151071,743462013
0.013465346534653465,151891968,0.9092803829065195,22153513,743833194
0,151502848,0.906950969526369,22155889,744211438
0.0499502487562189,151162880,0.9049157978363427,22158133,744814336
0,151162880,0.9049157978363427,22158133,744814336
0.01405,150974464,0.903787871357533,22159717,744996934
0,150548480,0.9012377767097894,22162423,745406605
