name;id;error;time;timeMin;timeMax;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;httpRequestsMin;httpRequestsMax;restarts;restartsMin;restartsMax
interactive-discover-3;0;false;17320;16620;17572;false;71;71;71;17565 17565 17565 17565 17565 17565 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17568 17568 17568 17568 17568 17568 17568 17569 17569 17569 17569 17569 17569 17569 17569 17569 17570 17570 17570 17570 17570 17570 17570 17571 17571 17571 17571 17571;17565 17565 17565 17565 17565 17565 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17568 17568 17568 17568 17568 17568 17568 17569 17569 17569 17569 17569 17569 17569 17569 17569 17570 17570 17570 17570 17570 17570 17570 17571 17571 17571 17571 17571;17565 17565 17565 17565 17565 17565 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17566 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17567 17568 17568 17568 17568 17568 17568 17568 17569 17569 17569 17569 17569 17569 17569 17569 17569 17570 17570 17570 17570 17570 17570 17570 17571 17571 17571 17571 17571;254;254;254;1;1;1
interactive-discover-3;1;true;60084;60077;60097;true;0;0;0;;;;148;148;148;1;1;1
interactive-discover-3;2;false;31311;31027;31650;false;55;55;55;31646 31646 31646 31646 31646 31646 31646 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31649 31649 31649 31649 31649 31649 31649 31649;31646 31646 31646 31646 31646 31646 31646 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31649 31649 31649 31649 31649 31649 31649 31649;31646 31646 31646 31646 31646 31646 31646 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31647 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31648 31649 31649 31649 31649 31649 31649 31649 31649;101;101;101;1;1;1
interactive-discover-3;3;true;60117;60107;60134;true;0;0;0;;;;430;430;430;1;1;1
interactive-discover-3;4;false;18401;18250;18603;false;142;142;142;18594 18594 18594 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18602 18602 18602 18602 18602 18602 18602 18602;18594 18594 18594 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18602 18602 18602 18602 18602 18602 18602 18602;18594 18594 18594 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18595 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18596 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18597 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18598 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18599 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18600 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18601 18602 18602 18602 18602 18602 18602 18602 18602;274;274;274;1;1;1
interactive-discover-4;0;true;14310;13151;14974;false;0;0;0;;;;144;144;144;1;1;1
interactive-discover-4;1;false;8625;8360;9455;false;3;3;3;9454 9454 9454;9454 9454 9454;9454 9454 9454;24;24;24;0;0;0
interactive-discover-4;2;false;7845;7528;7996;false;3;3;3;7987 7987 7987;7987 7987 7987;7987 7987 7987;21;21;21;0;0;0
interactive-discover-4;3;false;15687;11717;19296;false;3;3;3;19295 19295 19295;19295 19295 19295;19295 19295 19295;229;229;229;1;1;1
interactive-discover-4;4;true;14543;13420;15011;false;0;0;0;;;;143;143;143;1;1;1
