name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;timestamps;timestampsMax;timestampsMin
interactive-discover-6;4;false;;0;613936d3d666a311d54e99e3a8f9cdad;88;88;88;5;27;27;27;3032;3215;2868;1571.6 1608.4 1702.8 1721.6 1835.6 2032.4 2037.6 2070.8 2176.6 2288.2 2321 2322.4 2328.6 2348 2413.6 2456.6 2624 2624.4 2637.6 2653.4 2742.6 2829.2 2927.8 2975.2 2990.2 3023.8 3029.4;1641 1681 1798 1807 1920 2176 2177 2254 2347 2452 2453 2458 2459 2468 2604 2750 2761 2761 2765 2772 3063 3073 3075 3120 3155 3214 3215;1509 1527 1633 1655 1742 1920 1922 1925 2050 2225 2228 2228 2237 2244 2247 2268 2540 2540 2546 2548 2573 2611 2827 2859 2860 2867 2868
interactive-discover-7;0;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-discover-7;1;false;;0;75ab2bd12ac1e16dcc02f8c9e8d97308;98;98;98;5;1;1;1;1128.2;1238;1049;1025.4;1200;641
interactive-discover-7;2;false;;0;faf54113a5297c559416a2dd78b9cc86;84;84;84;5;1;1;1;775.6;826;711;320;461;265
interactive-discover-7;3;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-discover-7;4;false;;0;3ee14484ce425fdbae40700cdd59c0d2;88;88;88;5;1;1;1;2704.6;2936;2570;1544.2;1661;1451
interactive-discover-8;0;true;Result hash inconsistency;4;6de458b391c32b212e7929ae0ffc458b;220;260;204;5;10;10;10;3778.4;4165;3254;2074.2 3329.6 3438 3547.8 3563.6 3587.2 3596 3682 3699 3747;3480 3571 3978 3978 3978 3978 3989 4126 4126 4126;157 2835 2835 2886 2886 3003 3003 3133 3133 3191
interactive-discover-8;1;true;Result hash inconsistency;4;0a5f6c29abd1f819f9b0d5ca73a0ae53;294;376;66;5;8;10;0;25187;41384;19698;23845.75 24249.5 25494.75 26019.75 26019.75 26112.75 26139.75 26195.25 26195.25 26409.5;34104 34160 38962 40888 40888 40888 40888 40981 40981 40981;18127 18650 18650 18824 18824 18824 18932 18932 18932 19637
interactive-discover-8;2;true;Query timed out after 130 seconds client-side;5;;;;;5;0;0;0;0;0;0;;;
interactive-discover-8;3;true;Result hash inconsistency;4;a531002201beecc60d2b15350b0cfece;403;433;394;5;10;10;10;11157.4;12209;10552;5539 7517.8 10310.6 10479.2 10479.2 10671.2 10849.2 10903.4 10970.2 11032.4;6940 10332 10371 11214 11214 11505 11505 11776 11776 12087;438 6715 10157 10157 10157 10157 10443 10443 10443 10443
interactive-discover-8;4;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-1;0;false;;0;6b641713c69378408c911f18ba9ba38b;102;102;102;5;1;1;1;885.2;1181;767;86.6;144;65
interactive-short-1;1;false;;0;f02ab3570928d3fc74a51ceb7a4a39ac;100;100;100;5;1;1;1;737;820;664;73.8;89;61
interactive-short-1;2;false;;0;ff4ea17b4281fdba2a7a842efe3a722a;86;86;86;5;1;1;1;606.6;647;571;68.4;85;62
interactive-short-1;3;false;;0;64191c6d5f502dc3f35888f44214ade1;60;60;60;5;1;1;1;526.2;580;482;76.2;89;61
interactive-short-1;4;false;;0;d8972c3dd7a9ab1cc6d9b0773f1037c3;90;90;90;5;1;1;1;767.8;844;675;71;80;61
interactive-short-2;0;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-2;1;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-2;2;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-2;3;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-2;4;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-3;0;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-3;1;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-3;2;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-3;3;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-3;4;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-4;0;false;;0;be952defdc6bff97ab1d2bd30503bd7a;2;2;2;5;1;1;1;72.4;121;56;69.4;106;56
interactive-short-4;1;false;;0;c7f96e08adf5efcc4ad5302bc4ebe30f;2;2;2;5;1;1;1;65;81;58;55.4;66;33
interactive-short-4;2;false;;0;b14fe4f20ab576f2bf485f4d72fc2332;26;26;26;5;1;1;1;268.8;372;221;101.2;150;82
interactive-short-4;3;false;;0;c114679689014713f0be71d73de99a0b;36;36;36;5;1;1;1;422.8;590;367;109.8;119;102
interactive-short-4;4;false;;0;c93535a997dcc3e3b4e497b89e662936;2;2;2;5;1;1;1;64.2;76;57;46.2;76;17
interactive-short-5;0;false;;0;dc0e41612718b8e8febbfed0b6a81235;529;529;529;5;1;1;1;3355.6;4050;3105;57;62;54
interactive-short-5;1;false;;0;503ee1b279b823f2e5e6c3c7ad09348a;1111;1111;1111;5;1;1;1;6890.6;7436;6613;70.2;87;57
interactive-short-5;2;false;;0;f5c7036bdd812461f2fb5aae6b3ae925;4571;4571;4571;5;1;1;1;27553.4;28467;26795;127.8;148;110
interactive-short-5;3;false;;0;34828ddcb65169a440f3b93e10833a13;45;45;45;5;1;1;1;325.4;349;307;118.6;127;109
interactive-short-5;4;false;;0;85635c1632159d9ccdaa8e67a0da19e7;475;475;475;5;1;1;1;2987.8;3331;2873;70.8;82;61
interactive-short-6;0;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-6;1;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-6;2;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-6;3;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-6;4;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-7;0;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-7;1;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-7;2;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-7;3;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
interactive-short-7;4;true;Unexpected "!" at position 0 in state STOP;5;;;;;5;0;0;0;0;0;0;;;
