cpu_percentage,memory,memory_percentage,received,transmitted
30.27792079207921,328179712,1.964549254840941,26531,1941186
21.127733990147785,332484608,1.9903192214772931,64249,2221057
0,332484608,1.9903192214772931,64249,2221057
0,332484608,1.9903192214772931,64249,2221057
0.006464646464646465,332484608,1.9903192214772931,64319,2221057
0.0044,332484608,1.9903192214772931,64319,2221057
0.31541463414634147,332443648,1.990074026742409,69071,2224423
0,332443648,1.990074026742409,69071,2224423
0,332443648,1.990074026742409,69071,2224423
0,332443648,1.990074026742409,69071,2224423
33.94088235294117,338472960,2.0261666917173953,113605,2637132
8.637649999999999,339156992,2.030261443789965,121228,2786106
26.48514705882353,344031232,2.059439617241211,159817,3263465
3.3325,344301568,2.061057902491448,171018,3759429
0,344301568,2.061057902491448,171018,3759429
18.088235294117645,346710016,2.075475352902652,209393,5020755
0.0136,346718208,2.075524391849629,209393,5020755
0,346718208,2.075524391849629,209393,5020755
0,346718208,2.075524391849629,209393,5020755
0,346718208,2.075524391849629,209393,5020755
0.20100502512562815,346644480,2.075083041326837,214277,5023197
9.184780487804877,349802496,2.0939875553864256,241063,6031509
12.981463414634145,351932416,2.1067376816004155,261333,6275482
7.284,354525184,2.122258508318599,275028,6428139
14.433819095477388,356519936,2.1341994919074705,305016,6686187
15.5765,360206336,2.156267018047068,336509,6864095
12.031133004926108,363466752,2.1757845189438676,356082,7196449
5.631414141414141,363921408,2.178506180501085,370253,7812800
0.043910891089108915,363909120,2.1784326220806194,370781,7813064
1.3326341463414633,364195840,2.1801489852248106,375021,7857085
17.384477611940298,368553984,2.2062377050165125,408882,9074576
0.00835,368553984,2.2062377050165125,408882,9074576
0,368553984,2.2062377050165125,408882,9074576
0,368553984,2.2062377050165125,408882,9074576
0.11376884422110553,368521216,2.206041549228605,411654,9075962
0.09562814070351759,368484352,2.205820873967209,412974,9076820
0,368484352,2.205820873967209,412974,9076820
0.003940886699507389,368484352,2.205820873967209,412974,9076820
17.58194029850746,373284864,2.234557696895663,505809,10062773
21.2136815920398,378998784,2.2687623624120397,556322,10448110
10.308069306930694,381194240,2.2819048002018443,560402,10533119
0.00435,381194240,2.2819048002018443,560402,10533119
0,381194240,2.2819048002018443,560402,10533119
0.0037185929648241205,381194240,2.2819048002018443,560402,10533119
25.906815920398007,386633728,2.314466660994495,649768,10829257
19.40135,389980160,2.334499070834552,698509,11064208
9.457254901960784,392302592,2.3484016123024984,705609,11152418
0.004328358208955224,392302592,2.3484016123024984,705609,11152418
0,392302592,2.3484016123024984,705609,11152418
0.02895,392294400,2.348352573355522,706005,11152616
0.33140000000000003,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0.004365482233502538,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0.0052970297029702965,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0.005177664974619289,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0.004699999999999999,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0.005024390243902438,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0.004264705882352941,392163328,2.3475679502038918,714519,11157962
0.004536585365853658,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
0,392163328,2.3475679502038918,714519,11157962
11.431029411764706,145162240,0.8689701404303805,714519,11157962
0,145162240,0.8689701404303805,714519,11157962
0,145162240,0.8689701404303805,714519,11157962
0,145162240,0.8689701404303805,714519,11157962
0,145162240,0.8689701404303805,714519,11157962
0,145162240,0.8689701404303805,714519,11157962
0,145162240,0.8689701404303805,714519,11157962
0,145162240,0.8689701404303805,714519,11157962
0.0031862745098039215,145162240,0.8689701404303805,714519,11157962
0,145162240,0.8689701404303805,714519,11157962
0,145162240,0.8689701404303805,714519,11157962
0,145162240,0.8689701404303805,714519,11157962
0,145162240,0.8689701404303805,714519,11157962
0,145162240,0.8689701404303805,714589,11157962
0,145162240,0.8689701404303805,714589,11157962
0,145162240,0.8689701404303805,714589,11157962
0.0031034482758620693,145162240,0.8689701404303805,714589,11157962
0,145162240,0.8689701404303805,714589,11157962
0,145162240,0.8689701404303805,714589,11157962
0,145162240,0.8689701404303805,714589,11157962
