cpu_percentage,memory,memory_percentage,received,transmitted
0.005940594059405941,340086784,2.078960382094635,8034,2911
0,340086784,2.078960382094635,8104,2911
0.021,340082688,2.0789353431277426,8236,2977
0,340082688,2.0789353431277426,8236,2977
0.0016831683168316831,340082688,2.0789353431277426,8236,2977
0.0012967581047381546,340082688,2.0789353431277426,8236,2977
0,340082688,2.0789353431277426,8236,2977
0,340082688,2.0789353431277426,8236,2977
0,340082688,2.0789353431277426,8236,2977
19.646,343568384,2.1002435039530267,79063,547682
15.07058823529412,349839360,2.138578162265025,235926,1096799
11.533358395989975,352784384,2.1565811794605354,248202,1424117
20.35142493638677,391172096,2.3912463771744776,332793,2004187
20.129772151898734,409649152,2.504197156825309,621999,2655068
16.54801007556675,434409472,2.6555577116888154,657989,3595309
0.258425,434499584,2.6561085689604447,659745,3611187
0.300375,433852416,2.652152412191473,680601,3621615
20.875088607594936,447516672,2.7356824057439386,910421,4678026
18.134137055837563,488710144,2.987499295779056,1014680,5636168
25.593104325699745,518205440,3.167804896369976,1247562,5984264
17.154795918367345,504385536,3.083323422075605,1311336,7197068
0.34030000000000005,503750656,3.07944238220731,1314036,7228445
17.50676092544987,504557568,3.0843750586850787,1511954,7983805
12.787738693467338,504913920,3.086553448804702,1549009,8719836
26.02401534526854,506269696,3.0948413468460294,1850483,9574371
15.06840909090909,506241024,3.0946660740777836,1916957,10818552
0.002367758186397985,506097664,3.0937897102365555,1916957,10818552
5.955139240506329,506114048,3.0938898661041248,1960332,11084219
24.24496183206107,507113472,3.099999374025828,2147873,12222621
17.31864102564103,508436480,3.1080869603320167,2477862,13011310
25.53213740458015,508440576,3.1081119992989086,2547952,14355273
1.730425,507899904,3.104806855669135,2553312,14428768
19.383375634517765,508534784,3.10868789553743,2738728,15174193
12.027570332480817,508608512,3.10913859694149,2839159,16271845
25.407918781725886,502341632,3.0708289775963844,3067475,16754845
11.32889168765743,504918016,3.0865784877715945,3117201,17810518
3.161975,502005760,3.0687757823112216,3133949,17999026
17.52481012658228,502325248,3.0707288217288156,3258756,18986030
14.85072864321608,502456320,3.0715300686693667,3424465,19996291
17.29823677581864,501899264,3.068124769172024,3618577,20747811
16.435883838383837,502120448,3.069476873384204,3771690,21346698
10.860625,502390784,3.071129445199091,3839797,22114086
16.059872448979593,502665216,3.0728070559808702,3989900,23015290
18.201272264631044,502374400,3.071029289331522,4158674,24129686
11.685645569620254,503087104,3.0753860695707695,4243996,24561283
6.113734335839599,502423552,3.071329756934229,4300446,24780994
5.666390977443609,502231040,3.0701529254902944,4367985,25178886
6.727746835443038,502448128,3.0714799907355825,4407273,25517321
17.965456852791878,503291904,3.0766380179153807,4559048,26460523
8.50375314861461,499240960,3.051874479658969,4586981,26589529
16.545732323232322,499417088,3.052951155235335,4718722,27492589
15.221742424242423,499863552,3.0556804026265874,4855180,28188289
11.586944444444445,500142080,3.057383052375259,4962888,28756042
19.785826972010177,498855936,3.0495208167711,5070567,29497380
11.463231552162851,498933760,3.049996557142052,5196449,30246121
23.0753807106599,500670464,3.0606130791043564,5395435,31353428
12.198600508905852,500695040,3.0607633129057095,5510721,31806868
6.287619047619048,501673984,3.0667476259929516,5568181,32347764
3.510820895522388,500723712,3.060938585673955,5599630,32561459
15.466962025316455,501174272,3.0636928720321,5707871,33374884
12.764436090225564,502259712,3.0703281982585398,5798420,33829574
23.32407594936709,503246848,3.0763625892795665,5968805,34994857
12.966792929292929,502878208,3.074109082259266,6109536,35543398
6.3180200501253125,503324672,3.0768383296505184,6161636,35857704
1.65405,502857728,3.073983887424805,6177211,35946454
20.247866323907456,503816192,3.079843005677586,6401444,37017049
23.466836734693878,505495552,3.0901089821033985,6569886,37551163
2.523341645885287,505479168,3.090008826235829,6584538,37726257
24.75180203045685,508628992,3.1092637917759514,6765361,38450758
5.589475,500113408,3.057207779607013,6772957,38831633
0.8156109725685786,499757056,3.0550293894873897,6787354,38846654
0.8238653366583542,499355648,3.0525755707319515,6803731,38862665
0.522525,499040256,3.05064757028125,6812845,38872437
0.5018407960199005,499019776,3.050522375446789,6815230,38881452
0.5565671641791046,499007488,3.0504472585461126,6817616,38890479
0.36701492537313435,499011584,3.050472297513005,6819207,38896501
0.5744139650872818,499007488,3.0504472585461126,6821592,38905520
0.4471321695760599,499044352,3.050672609248142,6823184,38911554
0.5439800995024876,499306496,3.052275103129245,6825570,38920581
0.5705721393034826,499048448,3.0506976482150345,6827955,38929596
0.3826065162907268,499007488,3.0504472585461126,6829547,38935630
0.6102743142144639,499081216,3.0508979599501727,6831932,38944645
0.577780548628429,499048448,3.0506976482150345,6834317,38953660
0.33808457711442785,499007488,3.0504472585461126,6835907,38959670
0.56365,499007488,3.0504472585461126,6838292,38968685
10.2263,504377344,3.083273344141821,6839882,38974695
11.60925,121298944,0.7415039655463815,6842267,38983908
3.294110275689223,110354432,0.6745998460103536,6844652,38992996
1.150074441687345,110538752,0.6757265995205037,6846242,38999006
0.8542928039702233,111804416,0.6834636402902017,6848628,39008033
0.8190796019900498,112857088,0.6898986547815037,6851013,39017048
0.4598,112988160,0.690699901722055,6852603,39023058
0.8613715710723191,113229824,0.6921772007686963,6854988,39032073
0.4255721393034826,113106944,0.6914260317619295,6856578,39038083
0.8277114427860697,113324032,0.6927530970072174,6858963,39047097
0.682725,113356800,0.6929534087423553,6861348,39056112
0.572875,113606656,0.6944807857227812,6862938,39062122
0.658175,113528832,0.6940050453518287,6865323,39071137
0.933681592039801,113668096,0.6948563702261644,6867708,39080152
0.7147,113860608,0.6960332016700991,6869298,39086162
