name;id;error;time;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;restarts
interactive-discover-3;0;false;14760.875;false;71;71;71;14990 14990 14990 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14993 14993 14993 14993 14993 14993 14993 14993 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994;14990 14990 14990 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14993 14993 14993 14993 14993 14993 14993 14993 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994;14990 14990 14990 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14991 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14992 14993 14993 14993 14993 14993 14993 14993 14993 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994 14994;254;6
interactive-discover-3;1;false;29003.375;false;67;67;67;29521 29521 29521 29522 29522 29522 29522 29522 29522 29522 29522 29522 29522 29522 29522 29522 29522 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29525 29525 29525 29525 29525 29525 29525 29525 29525 29525;29521 29521 29521 29522 29522 29522 29522 29522 29522 29522 29522 29522 29522 29522 29522 29522 29522 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29525 29525 29525 29525 29525 29525 29525 29525 29525 29525;29521 29521 29521 29522 29522 29522 29522 29522 29522 29522 29522 29522 29522 29522 29522 29522 29522 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29523 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29524 29525 29525 29525 29525 29525 29525 29525 29525 29525 29525;148;3
interactive-discover-3;2;false;17796;false;55;55;55;21500 21500 21500 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503;21500 21500 21500 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503;21500 21500 21500 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21501 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21502 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503 21503;101;5
interactive-discover-3;3;true;60097.875;false;0;0;0;;;;430;10
interactive-discover-3;4;false;18261.875;false;142;142;142;22028 22028 22029 22030 22030 22030 22030 22030 22030 22030 22031 22031 22031 22031 22031 22031 22031 22031 22031 22031 22032 22032 22032 22032 22032 22032 22032 22032 22032 22032 22032 22033 22033 22033 22033 22033 22033 22033 22033 22033 22034 22034 22034 22034 22034 22034 22034 22034 22034 22034 22034 22035 22035 22035 22035 22035 22035 22035 22035 22035 22035 22035 22036 22036 22036 22036 22036 22036 22036 22036 22036 22037 22037 22037 22037 22037 22037 22037 22037 22037 22037 22037 22038 22038 22038 22038 22038 22038 22038 22038 22038 22039 22039 22039 22039 22039 22039 22039 22039 22039 22040 22040 22040 22040 22040 22040 22040 22040 22040 22040 22041 22041 22041 22041 22041 22041 22041 22041 22041 22042 22042 22042 22042 22042 22042 22042 22042 22042 22042 22043 22043 22043 22043 22043 22043 22043 22043 22043 22043 22044 22044 22044;22028 22028 22029 22030 22030 22030 22030 22030 22030 22030 22031 22031 22031 22031 22031 22031 22031 22031 22031 22031 22032 22032 22032 22032 22032 22032 22032 22032 22032 22032 22032 22033 22033 22033 22033 22033 22033 22033 22033 22033 22034 22034 22034 22034 22034 22034 22034 22034 22034 22034 22034 22035 22035 22035 22035 22035 22035 22035 22035 22035 22035 22035 22036 22036 22036 22036 22036 22036 22036 22036 22036 22037 22037 22037 22037 22037 22037 22037 22037 22037 22037 22037 22038 22038 22038 22038 22038 22038 22038 22038 22038 22039 22039 22039 22039 22039 22039 22039 22039 22039 22040 22040 22040 22040 22040 22040 22040 22040 22040 22040 22041 22041 22041 22041 22041 22041 22041 22041 22041 22042 22042 22042 22042 22042 22042 22042 22042 22042 22042 22043 22043 22043 22043 22043 22043 22043 22043 22043 22043 22044 22044 22044;22028 22028 22029 22030 22030 22030 22030 22030 22030 22030 22031 22031 22031 22031 22031 22031 22031 22031 22031 22031 22032 22032 22032 22032 22032 22032 22032 22032 22032 22032 22032 22033 22033 22033 22033 22033 22033 22033 22033 22033 22034 22034 22034 22034 22034 22034 22034 22034 22034 22034 22034 22035 22035 22035 22035 22035 22035 22035 22035 22035 22035 22035 22036 22036 22036 22036 22036 22036 22036 22036 22036 22037 22037 22037 22037 22037 22037 22037 22037 22037 22037 22037 22038 22038 22038 22038 22038 22038 22038 22038 22038 22039 22039 22039 22039 22039 22039 22039 22039 22039 22040 22040 22040 22040 22040 22040 22040 22040 22040 22040 22041 22041 22041 22041 22041 22041 22041 22041 22041 22042 22042 22042 22042 22042 22042 22042 22042 22042 22042 22043 22043 22043 22043 22043 22043 22043 22043 22043 22043 22044 22044 22044;274;4
interactive-discover-4;0;false;24670.125;false;5;5;5;25414 25414 25414 25415 25415;25414 25414 25414 25415 25415;25414 25414 25414 25415 25415;144;4
interactive-discover-4;1;false;8071.5;false;3;3;3;8445 8445 8445;8445 8445 8445;8445 8445 8445;24;3
interactive-discover-4;2;false;7551;false;3;3;3;7890 7890 7890;7890 7890 7890;7890 7890 7890;21;4
interactive-discover-4;3;false;29607.25;false;3;3;3;32335 32335 32335;32335 32335 32335;32335 32335 32335;229;5
interactive-discover-4;4;false;40351.875;false;7;7;7;40592 40592 40592 40592 40592 40592 40592;40592 40592 40592 40592 40592 40592 40592;40592 40592 40592 40592 40592 40592 40592;143;4
interactive-discover-5;0;false;14240;false;15;15;15;8618 10160 10160 10168 10586 10587 10593 11766 12033 12033 12033 12034 12034 12034 13883;8618 10160 10160 10168 10586 10587 10593 11766 12033 12033 12033 12034 12034 12034 13883;8618 10160 10160 10168 10586 10587 10593 11766 12033 12033 12033 12034 12034 12034 13883;128;5
interactive-discover-5;1;false;7638.25;false;3;3;3;6929 7321 8016;6929 7321 8016;6929 7321 8016;20;3
interactive-discover-5;2;false;7316.625;false;3;3;3;7256 7484 7596;7256 7484 7596;7256 7484 7596;17;3
interactive-discover-5;3;false;23813.375;false;4;4;4;7380 9473 10176 12249;7380 9473 10176 12249;7380 9473 10176 12249;224;11
interactive-discover-5;4;false;13873.125;false;20;20;20;7944 7961 7961 9355 9610 9694 10144 10167 10709 10745 10751 10751 10752 11823 13222 15515 15686 15686 15687 15687;7944 7961 7961 9355 9610 9694 10144 10167 10709 10745 10751 10751 10752 11823 13222 15515 15686 15686 15687 15687;7944 7961 7961 9355 9610 9694 10144 10167 10709 10745 10751 10751 10752 11823 13222 15515 15686 15686 15687 15687;123;6
interactive-discover-6;0;true;60142;false;0;0;0;;;;518;6
interactive-discover-6;1;false;7799.125;false;1;1;1;8015;8015;8015;20;3
interactive-discover-6;2;false;6810.25;false;1;1;1;7056;7056;7056;17;3
interactive-discover-6;3;true;60121.625;false;0;0;0;;;;737;10
interactive-discover-6;4;false;14015;false;27;27;27;10772 11201 11201 11201 14129 14185 14221 14222 14222 14251 14251 14251 14261 14261 14261 14266 14266 14266 14270 14270 14270 14273 14273 14273 14275 14275 14300;10772 11201 11201 11201 14129 14185 14221 14222 14222 14251 14251 14251 14261 14261 14261 14266 14266 14266 14270 14270 14270 14273 14273 14273 14275 14275 14300;10772 11201 11201 11201 14129 14185 14221 14222 14222 14251 14251 14251 14261 14261 14261 14266 14266 14266 14270 14270 14270 14273 14273 14273 14275 14275 14300;123;3
interactive-discover-7;0;false;60125;false;1;1;1;30700;30700;30700;1708;14
interactive-discover-7;1;false;7847.25;false;1;1;1;8141;8141;8141;20;2
interactive-discover-7;2;false;7294.375;false;1;1;1;7614;7614;7614;17;2
