name;id;error;time;timeMin;timeMax;timeout;results;resultsMin;resultsMax;timestamps;timestampsMin;timestampsMax;httpRequests;httpRequestsMin;httpRequestsMax;restarts;restartsMin;restartsMax
interactive-discover-3;0;true;60119;60114;60133;true;0;0;0;;;;254;254;254;0;0;0
interactive-discover-3;1;true;60063;60061;60070;true;0;0;0;;;;148;148;148;0;0;0
interactive-discover-3;2;false;27661;27124;27868;false;55;55;55;27863 27864 27864 27864 27864 27864 27864 27864 27864 27864 27864 27864 27864 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27867 27867 27867 27867;27863 27864 27864 27864 27864 27864 27864 27864 27864 27864 27864 27864 27864 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27867 27867 27867 27867;27863 27864 27864 27864 27864 27864 27864 27864 27864 27864 27864 27864 27864 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27865 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27866 27867 27867 27867 27867;101;101;101;0;0;0
interactive-discover-3;3;true;60127;60115;60138;true;0;0;0;;;;430;430;430;0;0;0
interactive-discover-3;4;true;60118;60100;60128;true;0;0;0;;;;274;274;274;0;0;0
interactive-discover-4;0;true;60063;60057;60070;true;0;0;0;;;;144;144;144;0;0;0
interactive-discover-4;1;false;8580;8426;9001;false;3;3;3;9000 9000 9001;9000 9000 9001;9000 9000 9001;24;24;24;0;0;0
interactive-discover-4;2;false;8001;7766;8099;false;3;3;3;8098 8098 8098;8098 8098 8098;8098 8098 8098;21;21;21;0;0;0
interactive-discover-4;3;false;38396;38186;38546;false;3;3;3;38545 38545 38546;38545 38545 38546;38545 38545 38546;229;229;229;0;0;0
interactive-discover-4;4;true;60063;60062;60064;true;0;0;0;;;;143;143;143;0;0;0
